date,actual_demand,prophet_forecast,sarima_forecast,is_test_period
2026-01-01,30878.53,,,False
2026-01-02,30811.78,,,False
2026-01-03,21184.15,,,False
2026-01-04,21124.08,,,False
2026-01-05,30946.82,,,False
2026-01-06,30901.17,,,False
2026-01-07,30791.59,,,False
2026-01-08,30956.27,,,False
2026-01-09,30918.0,,,False
2026-01-10,21263.79,,,False
2026-01-11,21283.64,,,False
2026-01-12,30879.15,,,False
2026-01-13,30959.97,,,False
2026-01-14,31021.43,,,False
2026-01-15,30976.71,,,False
2026-01-16,31013.99,,,False
2026-01-17,21233.79,,,False
2026-01-18,21307.38,,,False
2026-01-19,30918.96,,,False
2026-01-20,31036.7,,,False
2026-01-21,30959.57,,,False
2026-01-22,31011.07,,,False
2026-01-23,31065.45,,,False
2026-01-24,21373.14,,,False
2026-01-25,21335.27,,,False
2026-01-26,31035.89,,,False
2026-01-27,31108.01,,,False
2026-01-28,31231.18,,,False
2026-01-29,31213.38,,,False
2026-01-30,31168.28,,,False
2026-01-31,21430.33,,,False
2026-02-01,21355.28,,,False
2026-02-02,31260.97,,,False
2026-02-03,31193.51,,,False
2026-02-04,31328.8,,,False
2026-02-05,31220.94,,,False
2026-02-06,31251.2,,,False
2026-02-07,21423.35,,,False
2026-02-08,21492.61,,,False
2026-02-09,31222.06,,,False
2026-02-10,31246.55,,,False
2026-02-11,31315.18,,,False
2026-02-12,31279.11,,,False
2026-02-13,31360.33,,,False
2026-02-14,21522.48,,,False
2026-02-15,21508.55,21553.63,21562.09,True
2026-02-16,31371.68,31279.47,31343.1,True
2026-02-17,31341.57,31310.35,31346.35,True
2026-02-18,31445.8,31344.52,31432.92,True
2026-02-19,31354.99,31342.38,31374.47,True
2026-02-20,31332.48,31346.23,31423.17,True
2026-02-21,21583.01,21605.74,21597.07,True
2026-02-22,21515.63,21605.0,21643.78,True
2026-02-23,31362.25,31330.84,31406.94,True
2026-02-24,31409.86,31361.72,31416.46,True
2026-02-25,31386.73,31395.89,31497.36,True
2026-02-26,31393.02,31393.75,31446.99,True
2026-02-27,31484.52,31397.6,31510.21,True
2026-02-28,21602.48,21657.11,21678.55,True
2026-03-01,21631.0,21656.37,21722.73,True
