route_id,shifted_riders,daily_co2_saved_kg,annual_co2_saved_kg
R_SYN000,13.9296,6.268320000000001,2287.9368000000004
R_SYN001,15.8889,7.150005,2609.7518250000003
R_SYN002,45.2706,20.37177,7435.6960500000005
R_SYN003,19.152600000000003,8.61867,3145.81455
R_SYN007,13.9296,6.268320000000001,2287.9368000000004
R_SYN008,12.189,5.48505,2002.0432500000002
R_SYN009,25.2462,11.360790000000001,4146.68835
R_SYN016,83.5764,37.60938,13727.423700000001
R_SYN017,20.8944,9.402479999999999,3431.9051999999997
R_SYN018,12.189,5.48505,2002.0432500000002
R_SYN020,13.9296,6.268320000000001,2287.9368000000004
R_SYN024,20.8944,9.402479999999999,3431.9051999999997
R_SYN034,13.9296,6.268320000000001,2287.9368000000004
R_SYN036,13.9296,6.268320000000001,2287.9368000000004
R_SYN043,24.375600000000002,10.96902,4003.6923
R_SYN052,6.9654,3.13443,1144.06695
R_SYN053,6.9654,3.13443,1144.06695
R_SYN054,6.9654,3.13443,1144.06695
R_SYN055,6.9654,3.13443,1144.06695
R_SYN062,7.9443,3.5749350000000004,1304.8512750000002
R_SYN063,6.9654,3.13443,1144.06695
R_SYN067,6.9654,3.13443,1144.06695
