node_id,lat,lon,centrality_score
2841381808,20.2950886,85.8249639,0.116957
2277623719,20.2950357,85.8248731,0.110783
293466257,20.31475,85.82022,0.109786
8148670281,20.3078278,85.8202201,0.101018
4716027734,20.2582653,85.8415601,0.094439
4716027735,20.2581828,85.8414745,0.094384
3706276768,20.2547764,85.8017728,0.091915
3042737290,20.2980723,85.8239658,0.091542
2841381805,20.2993139,85.8235865,0.090503
2277623782,20.2955303,85.8247124,0.090284
8182316394,20.2955656,85.8247025,0.090229
8156905453,20.3146496,85.8201968,0.089529
8123911045,20.2847413,85.8078263,0.089317
3042737264,20.3147498,85.8203358,0.08659
5665459129,20.3066437,85.8208928,0.086443
293466216,20.3079128,85.8201813,0.086006
8154498079,20.314646,85.8203376,0.085934
8156905418,20.3107297,85.8201242,0.085226
2393561249,20.2526742,85.8361731,0.085124
3725777494,20.3324387,85.8214541,0.084967
